id,title,release_date,vote_average,vote_count,popularity,cast,genres,overview
278,The Shawshank Redemption,1994-09-23,8.7,31090,87.6812,Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown,Drama|Crime,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
441168,From Straight A's to XXX,2017-02-11,5.9,167,87.6188,Haley Pullos|Sasha Clements|Judd Nelson|Alyson Bath|Jacky Lai,Drama|TV Movie,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning."
1564614,Leviticus,2026-06-17,6.747,393,87.491,Joe Bird|Stacy Clausen|Mia Wasikowska|Nicholas Hope|Tyallah Bullock,Horror|Romance,Two teenage boys must escape a violent entity that takes the form of the person they desire most:  each other.
83533,Avatar: Fire and Ash,2025-12-17,7.645,4163,86.9289,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Oona Chaplin,Science Fiction|Adventure|Fantasy,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits."
1280738,The Furious,2026-06-10,8.108,571,86.4293,Xie Miao|Joe Taslim|Yang Enyou|Yayan Ruhian|JeeJa Yanin,Action|Crime|Thriller,"After a criminal network kidnaps Wang Wei's daughter and the corrupt police refuse to assist him, Wei sets out on his own to locate her. Navin, a tenacious journalist whose wife has mysteriously vanished, is his only ally. In this explosive martial arts showdown, the unlikely duo fights the kidnappers ruthlessly driven by a furious vengeance."
89657,Country Hooker,1974-10-04,4.2,6,84.7646,Rene Bond|Ric Lutze|Sandy Dempsey|John Paul Jones|Maria Arnold,Drama,"A couple of musicians are on their way to a show at a country bar. Along the way, they pick up a couple of sexy hitchhiking ladies and decide to pull over for a pitstop. Eventually, they make it to the bar and uncover that the deep voiced country singer that also plays there is also a pimp who uses the ""waitresses"" to make him some extra cash. It is up to our musician heroes to put an end to the singer and his operation."
1288445,Mutiny,2026-08-19,7.0,35,84.6787,Jason Statham|Annabelle Wallis|Roland Møller|Ramon Tikaram|Arnas Fedaravičius,Action|Thriller,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy."
1599191,Renegade Immortal: Battle of the Immortal Slayer,,0.0,0,83.7699,Shi Zekun,Animation|Action|Adventure|Fantasy,
1493400,Camp Rock 3,2026-08-13,6.3,70,81.6613,Liamani Segura|Malachi Barton|Lumi Pollack|Hudson Stone|Casey Trotter,Music|Comedy|Drama|TV Movie|Romance,"When Connect 3 loses their opening act for a major reunion tour, they return to their beloved Camp Rock to discover the next big thing. As campers vie for the chance to open for their favorite band, tensions rise and friendships are tested - leading to unexpected alliances, revelations, and romances."
936075,Michael,2026-04-22,8.7,4091,78.3949,Jaafar Jackson|Colman Domingo|Nia Long|Juliano Krue Valdi|KeiLyn Durrel Jones,Music|Drama,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career."
